ID,Name,Nationality,Age,OVA,POT,Club,Contract,Height,Weight,Preferred Foot,Best Position,Joined,Value,Wage,Release Clause,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defending,Marking,Standing Tackle,Sliding Tackle,Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,W/F,SM,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,Hits,t
158023,L. Messi,Argentina,33,93,93,"



FC Barcelona",2004 ~ 2021,170,72,Left,RW,2004-07-01,103500000.0,560000.0,138400000.0,429,85,95,70,91,88,470,96,93,94,91,96,451,91,80,91,94,95,389,86,68,72,69,94,347,44,40,93,95,75,96,91,32,35,24,54,6,11,15,14,8,2231,466,4,4,Medium,Low,5,85,92,91,95,38,65,771.0,2004 ~ 2021
20801,Cristiano Ronaldo,Portugal,35,92,92,"



Juventus",2018 ~ 2022,187,83,Right,ST,2018-07-10,63000000.0,220000.0,75900000.0,437,84,95,90,82,86,414,88,81,76,77,92,431,87,91,87,95,71,444,94,95,84,78,93,353,63,29,95,82,84,95,84,28,32,24,58,7,11,15,14,11,2221,464,4,5,High,Low,5,89,93,81,89,35,77,562.0,2018 ~ 2022
200389,J. Oblak,Slovenia,27,91,93,"



Atlético Madrid",2014 ~ 2023,188,87,Right,GK,2014-07-16,120000000.0,125000.0,159400000.0,95,13,11,15,43,13,109,12,13,14,40,30,307,43,60,67,88,49,268,59,78,41,78,12,140,34,19,11,65,11,68,57,27,12,18,437,87,92,78,90,90,1413,489,3,1,Medium,Medium,3,87,92,78,90,52,90,150.0,2014 ~ 2023
192985,K. De Bruyne,Belgium,29,91,91,"



Manchester City",2015 ~ 2023,181,70,Right,CAM,2015-08-30,129000000.0,370000.0,161000000.0,407,94,82,55,94,82,441,88,85,83,93,92,398,77,76,78,91,76,408,91,63,89,74,91,408,76,66,88,94,84,91,186,68,65,53,56,15,13,5,10,13,2304,485,5,4,High,High,4,76,86,93,88,64,78,207.0,2015 ~ 2023
190871,Neymar Jr,Brazil,28,91,91,"



Paris Saint-Germain",2017 ~ 2022,175,68,Right,LW,2017-08-03,132000000.0,270000.0,166500000.0,408,85,87,62,87,87,448,95,88,89,81,95,453,94,89,96,91,83,357,80,62,81,50,84,356,51,36,87,90,92,93,94,35,30,29,59,9,9,15,15,11,2175,451,5,5,High,Medium,5,91,85,86,94,36,59,595.0,2017 ~ 2022
188545,R. Lewandowski,Poland,31,91,91,"



FC Bayern München",2014 ~ 2023,184,80,Right,ST,2014-07-01,111000000.0,240000.0,132000000.0,423,71,94,85,84,89,407,85,79,85,70,88,407,77,78,77,93,82,420,89,84,76,86,85,391,81,49,94,79,88,88,96,35,42,19,51,15,6,12,8,10,2195,457,4,4,High,Medium,4,78,91,78,85,43,82,248.0,2014 ~ 2023
209331,M. Salah,Egypt,28,90,90,"



Liverpool",2017 ~ 2023,175,71,Left,RW,2017-07-01,120500000.0,250000.0,144300000.0,392,79,91,59,84,79,406,90,83,69,75,89,460,94,92,91,92,91,393,80,69,85,75,84,376,63,55,91,84,83,90,122,38,43,41,62,14,14,9,11,14,2211,470,3,4,High,Medium,3,93,86,81,90,45,75,246.0,2017 ~ 2023
212831,Alisson,Brazil,27,90,91,"



Liverpool",2018 ~ 2024,191,91,Right,GK,2018-07-19,102000000.0,160000.0,120300000.0,114,17,13,19,45,20,138,27,19,18,44,30,268,56,47,40,88,37,240,64,52,32,78,14,140,27,11,13,66,23,65,50,15,19,16,439,86,88,85,91,89,1389,490,3,1,Medium,Medium,3,86,88,85,89,51,91,120.0,2018 ~ 2024
231747,K. Mbappé,France,21,90,95,"



Paris Saint-Germain",2018 ~ 2022,178,73,Right,ST,2018-07-01,185500000.0,160000.0,203100000.0,408,78,91,73,83,83,394,92,79,63,70,90,458,96,96,92,92,82,404,86,77,86,76,79,341,62,38,91,80,70,84,100,34,34,32,42,13,5,7,11,6,2147,466,4,5,High,Low,3,96,86,78,91,39,76,1600.0,2018 ~ 2022
192448,M. ter Stegen,Germany,28,90,93,"



FC Barcelona",2014 ~ 2022,187,85,Right,GK,2014-07-01,110000000.0,260000.0,147700000.0,118,18,14,11,61,14,144,21,18,12,63,30,254,38,50,37,86,43,268,66,79,35,78,10,171,43,22,11,70,25,70,48,25,13,10,439,88,85,88,88,90,1442,484,4,1,Medium,Medium,3,88,85,88,90,45,88,130.0,2014 ~ 2022
