Age,OVA,POT,Release Clause,Best Position,Club,Value,Attacking,Defending,Goalkeeping
33,93,93,138400000.0,RW,FC Barcelona,103500000.0,429,91,54
35,92,92,75900000.0,ST,Juventus,63000000.0,437,84,58
27,91,93,159400000.0,GK,Atlético Madrid,120000000.0,95,57,437
29,91,91,161000000.0,CAM,Manchester City,129000000.0,407,186,56
28,91,91,166500000.0,LW,Paris Saint-Germain,132000000.0,408,94,59
31,91,91,132000000.0,ST,FC Bayern München,111000000.0,423,96,51
28,90,90,144300000.0,RW,Liverpool,120500000.0,392,122,62
27,90,91,120300000.0,GK,Liverpool,102000000.0,114,50,439
21,90,95,203100000.0,ST,Paris Saint-Germain,185500000.0,408,100,42
28,90,93,147700000.0,GK,FC Barcelona,110000000.0,118,48,439
28,90,91,145300000.0,CB,Liverpool,113000000.0,316,272,58
28,90,90,144300000.0,LW,Liverpool,120500000.0,410,122,56
28,89,89,122000000.0,CDM,Real Madrid,90500000.0,349,259,67
28,89,90,119000000.0,GK,Real Madrid,82000000.0,86,54,420
34,89,89,47900000.0,GK,FC Bayern München,17500000.0,119,38,440
32,89,89,108700000.0,CF,Real Madrid,83500000.0,426,89,41
34,89,89,50200000.0,CB,Real Madrid,33500000.0,374,263,46
32,89,89,98100000.0,ST,Manchester City,83500000.0,411,83,59
25,88,90,139600000.0,LW,Manchester City,114500000.0,360,147,63
29,88,88,96900000.0,CDM,Chelsea,78000000.0,328,264,54
25,88,90,112100000.0,CDM,FC Bayern München,103000000.0,383,245,60
26,88,89,122500000.0,CAM,Juventus,109000000.0,405,120,26
26,88,91,103000000.0,GK,Manchester City,92000000.0,123,52,435
26,88,89,140200000.0,ST,Tottenham Hotspur,109000000.0,420,130,54
35,88,88,27200000.0,GK,Inter,10000000.0,86,48,424
29,88,88,85000000.0,CB,Napoli,76500000.0,224,267,43
29,88,88,118900000.0,LW,Real Madrid,89500000.0,388,83,45
30,88,88,112800000.0,CM,Real Madrid,87500000.0,397,205,51
29,87,87,103500000.0,ST,FC Barcelona,79500000.0,425,162,63
20,87,93,132100000.0,CAM,Borussia Dortmund,124000000.0,373,105,52
21,87,92,115500000.0,RB,Liverpool,114000000.0,365,241,56
25,87,88,115500000.0,RW,Manchester City,95000000.0,371,148,54
26,87,89,102000000.0,LB,Liverpool,90500000.0,328,248,50
26,87,90,107800000.0,CB,Manchester City,92500000.0,311,266,45
25,87,90,124400000.0,CAM,Manchester United,105500000.0,396,194,63
26,87,89,104900000.0,CDM,Liverpool,88500000.0,345,258,47
27,87,87,99800000.0,LM,Tottenham Hotspur,85000000.0,399,117,53
28,87,87,96200000.0,CF,Liverpool,81500000.0,400,166,44
33,87,87,50000000.0,GK,Paris Saint-Germain,26000000.0,78,56,418
35,87,87,25600000.0,CB,Juventus,21000000.0,280,272,15
31,87,87,77900000.0,CDM,FC Barcelona,56000000.0,330,249,48
31,87,87,85500000.0,ST,Arsenal,67500000.0,403,92,48
30,87,87,56100000.0,GK,Juventus,53000000.0,86,45,416
32,87,87,72200000.0,RW,Paris Saint-Germain,63000000.0,379,148,51
34,87,87,50200000.0,CM,Real Madrid,36500000.0,380,214,52
33,87,87,64599999.99999999,ST,Atlético Madrid,51000000.0,429,140,153
33,87,87,51300000.0,GK,Tottenham Hotspur,26000000.0,94,57,413
30,87,87,82500000.0,ST,Lazio,78000000.0,394,99,47
30,86,86,69300000.0,CAM,FC Bayern München,65500000.0,419,150,52
29,86,86,59900000.0,GK,Manchester United,46500000.0,114,59,418
28,86,86,77900000.0,RB,Real Madrid,61500000.0,339,251,65
27,86,88,98800000.0,CB,Real Madrid,72500000.0,293,262,50
27,86,87,96300000.0,CM,Paris Saint-Germain,77500000.0,344,243,64
27,86,87,98800000.0,CM,Manchester United,77500000.0,400,195,20
33,86,86,53200000.0,ST,Leicester City,43500000.0,390,160,62
33,86,86,43100000.0,CB,FC Barcelona,32500000.0,344,258,58
31,86,86,56100000.0,CB,Borussia Dortmund,46500000.0,349,264,42
31,86,86,48500000.0,GK,Borussia Mönchengladbach,36000000.0,84,40,423
34,86,86,47300000.0,CAM,Real Sociedad,32000000.0,383,140,46
32,86,86,58700000.0,CAM,Atalanta,54000000.0,359,114,46
31,86,86,65599999.99999999,LB,FC Barcelona,49500000.0,372,236,60
30,86,86,67500000.0,CDM,Liverpool,57000000.0,377,244,49
24,85,88,84700000.0,CDM,Manchester City,66500000.0,346,245,49
25,85,89,87000000.0,CM,Lazio,74500000.0,389,231,47
26,85,88,95800000.0,CAM,Olympique Lyonnais,71500000.0,386,80,50
21,85,93,119700000.0,CAM,Chelsea,121000000.0,400,123,47
20,85,92,91600000.0,CB,Juventus,99000000.0,308,253,56
25,85,89,79000000.0,CB,Inter,67000000.0,277,262,55
22,85,91,111300000.0,RM,Manchester United,86500000.0,382,120,53
21,85,92,78900000.0,GK,Milan,93500000.0,78,50,418
24,85,87,81900000.0,RM,FC Bayern München,70000000.0,368,132,50
24,85,90,88800000.0,LM,FC Bayern München,81500000.0,402,103,52
27,85,86,86900000.0,CAM,Chelsea,62000000.0,374,140,51
25,85,89,94600000.0,CB,FC Barcelona,67000000.0,292,257,48
26,85,89,84700000.0,CB,Paris Saint-Germain,66000000.0,298,261,47
29,85,85,69400000.0,RW,Manchester City,53000000.0,366,98,54
26,85,86,78000000.0,RB,Leicester City,58000000.0,352,249,65
24,85,88,97800000.0,ST,Chelsea,74500000.0,399,78,50
31,85,85,69300000.0,CM,Villarreal CF,44000000.0,394,209,48
27,85,86,86600000.0,ST,Paris Saint-Germain,63000000.0,386,89,43
23,85,90,107300000.0,CM,FC Barcelona,81000000.0,363,229,49
29,85,85,63800000.0,LW,Napoli,53000000.0,374,99,45
31,85,85,54200000.0,CB,Tottenham Hotspur,37000000.0,308,262,66
35,85,85,21900000.0,CB,Chelsea,14500000.0,322,257,45
28,85,85,77900000.0,CM,Atlético Madrid,54000000.0,361,230,54
28,85,87,66200000.0,GK,Arsenal,46000000.0,91,60,418
27,85,86,79900000.0,ST,Inter,63000000.0,400,101,54
29,85,85,52000000.0,LB,Juventus,47500000.0,364,243,40
29,85,85,68500000.0,CM,Liverpool,52500000.0,373,206,46
30,85,85,56400000.0,RB,Manchester City,46500000.0,341,242,57
28,85,85,66300000.0,CAM,Inter,54500000.0,385,138,43
30,85,85,44200000.0,GK,RB Leipzig,36000000.0,94,61,421
33,85,85,29700000.0,CB,Juventus,26000000.0,311,256,13
33,85,85,40800000.0,CF,Napoli,34500000.0,355,105,39
27,85,85,68900000.0,CAM,Lazio,57500000.0,368,171,43
34,85,85,24700000.0,CB,Cagliari,17500000.0,305,260,49
29,85,85,68500000.0,CM,Liverpool,52500000.0,386,226,54
30,85,85,72800000.0,CM,FC Barcelona,51500000.0,359,224,42
31,85,85,57800000.0,CAM,Borussia Dortmund,44500000.0,389,132,61
23,84,88,72100000.0,CB,Leicester City,55000000.0,321,261,54
25,84,88,76500000.0,CB,Atlético Madrid,52500000.0,262,261,52
24,84,88,44300000.0,GK,Ajax,48000000.0,93,44,419
24,84,88,71900000.0,CAM,Borussia Dortmund,60500000.0,375,160,55
23,84,90,97800000.0,CAM,Real Sociedad,66500000.0,380,117,50
22,84,91,84600000.0,ST,Inter,86500000.0,387,131,48
19,84,92,85500000.0,ST,Borussia Dortmund,92000000.0,356,113,52
27,84,85,61200000.0,LB,Manchester United,44500000.0,371,240,58
24,84,88,69900000.0,RM,FC Bayern München,60500000.0,360,77,21
24,84,88,73700000.0,LWB,SL Benfica,56000000.0,344,232,50
23,84,89,70700000.0,CM,Juventus,63500000.0,352,225,55
24,84,89,64700000.0,CB,FC Bayern München,57500000.0,253,260,58
26,84,85,64800000.0,CAM,Borussia Dortmund,49500000.0,365,230,45
24,84,88,81000000.0,ST,Manchester United,61000000.0,383,109,51
31,84,84,47200000.0,CB,Atlético Madrid,29000000.0,285,256,50
25,84,88,68100000.0,CM,FC Bayern München,58500000.0,389,228,56
25,84,87,81800000.0,CM,Atlético Madrid,55500000.0,391,232,51
27,84,85,69100000.0,CDM,Arsenal,48000000.0,353,247,49
29,84,84,58900000.0,CF,AS Monaco,42000000.0,402,93,42
27,84,84,38500000.0,LB,Ajax,40500000.0,345,245,63
29,84,84,58900000.0,ST,Wolverhampton Wanderers,42000000.0,405,121,55
27,84,85,56800000.0,CDM,Inter,43000000.0,359,238,50
26,84,85,62200000.0,LB,Everton,45500000.0,367,245,46
29,84,85,44400000.0,GK,Borussia Dortmund,32500000.0,90,40,409
32,84,84,42500000.0,CAM,Atalanta,34000000.0,394,111,52
33,84,84,32299999.999999996,RM,Fiorentina,26500000.0,389,128,49
30,84,84,59000000.0,RM,SL Benfica,40500000.0,366,188,62
28,84,84,64599999.99999999,CAM,Real Madrid,42500000.0,360,173,51
28,84,84,45400000.0,CB,FC Bayern München,36500000.0,368,250,50
30,84,84,47200000.0,CDM,Paris Saint-Germain,35500000.0,295,257,47
27,84,84,65000000.0,RM,FC Porto,45000000.0,378,230,50
32,84,84,52500000.0,ST,RC Celta,34000000.0,408,78,62
29,84,84,50300000.0,LM,FC Bayern München,41500000.0,355,117,54
28,84,85,54100000.0,CB,Inter,40000000.0,256,260,52
35,84,84,17600000.0,CB,Manchester City,11000000.0,364,257,48
33,84,84,25500000.0,CDM,Lazio,21000000.0,338,247,37
30,84,84,46600000.0,RB,Chelsea,36500000.0,331,255,43
33,84,84,28900000.0,GK,Torino,13500000.0,69,38,406
33,84,84,32299999.999999996,GK,Leicester City,13500000.0,105,41,410
31,84,84,40000000.0,CDM,Borussia Dortmund,29500000.0,391,243,36
32,84,84,36100000.0,GK,Wolverhampton Wanderers,21000000.0,85,38,406
33,84,84,37100000.0,ST,Manchester United,27000000.0,400,144,53
34,84,84,23100000.0,RB,Sevilla FC,15500000.0,380,239,55
21,83,88,62100000.0,RM,Inter,56000000.0,358,217,46
25,83,88,64800000.0,LB,Real Madrid,49500000.0,343,238,51
23,83,89,79900000.0,LM,FC Barcelona,57500000.0,353,105,49
27,83,83,45900000.0,LM,Borussia Dortmund,38500000.0,358,150,37
28,83,83,49400000.0,RM,Grêmio,36500000.0,380,92,65
22,83,88,60200000.0,RB,Manchester United,52000000.0,293,256,39
23,83,87,54100000.0,CDM,Borussia Mönchengladbach,47500000.0,319,248,55
26,83,84,66300000.0,CAM,Real Betis,43000000.0,371,106,61
28,83,83,46200000.0,LB,Sevilla FC,33000000.0,359,240,62
22,83,88,68100000.0,CAM,Tottenham Hotspur,56000000.0,374,106,64
23,83,88,59700000.0,CB,Liverpool,49500000.0,271,250,49
21,83,89,81000000.0,CAM,Real Madrid,58500000.0,366,165,62
23,83,87,65200000.0,CM,Manchester United,52000000.0,377,214,51
25,83,88,55500000.0,GK,Roma,42500000.0,113,50,410
31,83,83,31400000.0,GK,Newcastle United,19000000.0,93,48,408
27,83,85,58700000.0,CB,Sevilla FC,38500000.0,256,246,49
21,83,90,81000000.0,CM,Real Madrid,73500000.0,350,235,45
28,83,83,56700000.0,ST,Villarreal CF,37000000.0,406,126,56
23,83,87,66400000.00000001,ST,Manchester City,52500000.0,382,111,48
27,83,83,54000000.0,LM,SL Benfica,38500000.0,343,138,51
27,83,83,51300000.0,RM,Tottenham Hotspur,38500000.0,360,118,54
25,83,88,45300000.0,GK,Lazio,42500000.0,84,50,409
27,83,83,45900000.0,LM,Eintracht Frankfurt,38500000.0,367,209,64
25,83,88,66300000.0,LWB,Valencia CF,49500000.0,340,245,53
24,83,87,67200000.0,CAM,Tottenham Hotspur,52000000.0,393,203,41
26,83,86,53900000.0,RWB,Manchester City,43500000.0,352,238,58
25,83,87,53300000.0,CB,Milan,45500000.0,247,256,52
27,83,84,49100000.0,LB,Paris Saint-Germain,38000000.0,350,234,56
30,83,83,46600000.0,RM,Medipol Başakşehir FK,35000000.0,360,135,64
26,83,86,60600000.0,CB,FC Barcelona,42000000.0,334,250,66
28,83,83,48500000.0,CM,Chelsea,36500000.0,351,215,56
28,83,83,54600000.0,RW,Real Sociedad,36500000.0,394,175,67
26,83,85,55000000.0,CAM,RB Leipzig,44500000.0,380,192,66
29,83,83,44200000.0,ST,Atalanta,36500000.0,367,98,40
26,83,86,62200000.0,CM,Chelsea,47000000.0,342,209,34
26,83,86,55300000.0,RWB,Wolverhampton Wanderers,43500000.0,302,238,64
32,83,83,35700000.0,CDM,Sevilla FC,24000000.0,329,247,29
31,83,83,32900000.0,CF,Ajax,30500000.0,397,108,61
33,83,83,18800000.0,CDM,Inter Miami,18000000.0,354,253,48
29,83,83,44100000.0,RB,Atlético Madrid,32000000.0,346,241,54
28,83,83,45100000.0,RB,FC Barcelona,33000000.0,352,232,66
29,83,84,41500000.0,GK,Olympique Lyonnais,28000000.0,98,41,405
31,83,83,33200000.000000004,CDM,Bayer 04 Leverkusen,25500000.0,350,232,55
28,83,84,49100000.0,CB,Liverpool,34500000.0,301,251,53
29,83,83,38900000.0,GK,Levante UD,25000000.0,115,39,403
29,83,83,49400000.0,ST,Arsenal,36500000.0,384,122,37
27,83,83,51300000.0,LM,Crystal Palace,38500000.0,339,96,61
29,83,84,43500000.0,CB,Napoli,33500000.0,208,257,49
30,83,83,29800000.0,GK,Bayer 04 Leverkusen,24000000.0,72,33,402
27,83,83,56700000.0,LW,Athletic Club de Bilbao,38500000.0,353,151,45
28,83,83,53300000.0,CAM,FC Barcelona,36500000.0,363,156,48
28,83,83,41600000.0,CAM,Shanghai SIPG FC,36500000.0,376,174,61
28,83,85,39900000.0,GK,VfL Wolfsburg,31000000.0,92,47,410
32,83,83,28100000.0,CB,Lazio,23500000.0,258,259,53
29,83,83,46300000.0,CM,Manchester City,35500000.0,362,216,48
29,83,83,31500000.0,GK,Eintracht Frankfurt,25000000.0,74,39,407
31,83,83,35200000.0,CM,Guangzhou Evergrande Taobao FC,30000000.0,393,234,57
30,83,83,43100000.0,LB,Athletic Club de Bilbao,31500000.0,359,237,53
29,83,83,47500000.0,CDM,Everton,35500000.0,343,261,44
33,83,83,25500000.0,CM,Inter,22500000.0,391,249,16
34,83,83,28400000.0,ST,Roma,17500000.0,388,102,63
32,83,83,34000000.0,CDM,Inter,29000000.0,367,259,55
32,83,83,32799999.999999996,LB,Real Madrid,25000000.0,374,227,36
30,83,83,0.0,RW,Tottenham Hotspur,35000000.0,417,161,52
32,83,83,33200000.000000004,CM,Al Shabab,28500000.0,356,233,45
33,83,83,24000000.0,CB,SL Benfica,17500000.0,331,257,44
35,83,83,13300000.0,GK,Olympique de Marseille,4000000.0,99,41,405
38,83,83,16200000.0,ST,Milan,12500000.0,400,89,59
31,83,83,33800000.0,RW,Los Angeles FC,30000000.0,393,67,53
33,83,83,28500000.0,CM,Wolverhampton Wanderers,22500000.0,391,213,69
32,83,83,30800000.0,ST,Inter Miami,29500000.0,392,75,39
32,83,83,31200000.0,CM,Beijing Sinobo Guoan FC,28500000.0,380,212,56
24,82,87,45700000.0,CB,FC Bayern München,41500000.0,338,251,49
28,82,83,46800000.0,CB,Getafe CF,29000000.0,263,253,49
27,82,82,43700000.0,RW,Olympique de Marseille,32500000.0,391,106,52
28,82,83,34700000.0,GK,SV Werder Bremen,24000000.0,88,36,391
28,82,82,37100000.0,CB,Grêmio,26500000.0,279,254,69
24,82,87,57300000.0,CAM,Tottenham Hotspur,46000000.0,363,196,56
25,82,85,58400000.0,CM,Atlético Madrid,40000000.0,360,233,51
25,82,85,55300000.0,LM,Arsenal,40500000.0,356,88,50
23,82,86,46200000.0,CDM,RB Leipzig,40000000.0,360,237,58
23,82,87,57300000.0,CM,Wolverhampton Wanderers,46000000.0,365,215,56
27,82,84,40200000.0,GK,Getafe CF,28000000.0,101,48,401
25,82,82,40800000.0,LM,Atalanta,34000000.0,388,232,64
24,82,86,61600000.0,CAM,Real Madrid,43500000.0,375,121,50
26,82,82,49200000.0,LM,Atlético Madrid,33500000.0,354,106,49
